layer,int4_time,int8_time,difference
layers.23.attention.wqkv,547.997,17.152,-530.8449999999999
layers.23.attention.wo,6.144,68.51200000000001,62.368000000000016
layers.23.feed_forward.w1,1.344,529.0889999999999,527.7449999999999
layers.23.feed_forward.w2,0.0,232.671,232.671
layers.23.feed_forward.w3,4.191,0.0,-4.191
layers.24.attention.wqkv,548.03,18.018,-530.012
layers.24.attention.wo,10.848,68.98899999999999,58.14099999999999
layers.24.feed_forward.w1,1.472,529.728,528.256
layers.24.feed_forward.w2,0.0,232.096,232.096
layers.24.feed_forward.w3,1.76,0.0,-1.76
layers.25.attention.wqkv,545.789,18.176000000000002,-527.6129999999999
layers.25.attention.wo,6.208,68.70400000000001,62.49600000000001
layers.25.feed_forward.w1,1.344,529.952,528.608
layers.25.feed_forward.w2,0.0,231.487,231.487
layers.25.feed_forward.w3,4.223,0.0,-4.223
layers.26.attention.wqkv,547.4860000000001,18.145,-529.3410000000001
layers.26.attention.wo,10.784,68.73700000000001,57.95300000000001
layers.26.feed_forward.w1,1.344,527.68,526.3359999999999
layers.26.feed_forward.w2,0.0,231.36,231.36
layers.26.feed_forward.w3,1.728,0.0,-1.728
layers.27.attention.wqkv,549.501,18.208,-531.293
layers.27.attention.wo,6.272,68.896,62.624
layers.27.feed_forward.w1,1.376,530.816,529.44
layers.27.feed_forward.w2,0.0,232.608,232.608
layers.27.feed_forward.w3,4.224,0.0,-4.224
layers.28.attention.wqkv,548.733,18.241999999999997,-530.491
layers.28.attention.wo,10.879000000000001,68.79899999999999,57.91999999999999
layers.28.feed_forward.w1,1.44,529.761,528.3209999999999
layers.28.feed_forward.w2,0.0,232.287,232.287
layers.28.feed_forward.w3,1.728,0.0,-1.728
layers.29.attention.wqkv,547.8679999999999,18.144,-529.7239999999999
layers.29.attention.wo,6.208,68.8,62.592
layers.29.feed_forward.w1,1.312,529.9200000000001,528.6080000000001
layers.29.feed_forward.w2,0.0,232.192,232.192
layers.29.feed_forward.w3,4.223,0.0,-4.223
layers.30.attention.wqkv,547.1020000000001,1969.505,1422.403
layers.30.attention.wo,10.881,434.88100000000003,424.0
layers.30.feed_forward.w1,1.408,1586.754,1585.346
layers.30.feed_forward.w2,0.0,231.361,231.361
layers.30.feed_forward.w3,1.728,0.0,-1.728
layers.31.attention.wqkv,547.932,17.919,-530.013
layers.31.attention.wo,6.208,68.48,62.272000000000006
layers.31.feed_forward.w1,1.312,526.24,524.928
layers.31.feed_forward.w2,0.0,231.68,231.68
layers.31.feed_forward.w3,4.224,0.0,-4.224
